Código INE;Municipio;Provincia;Comunidad/ciudad autónoma
40063;Cuéllar;Segovia;Castilla y León
16078;Cuenca;Cuenca;Castilla-La Mancha
47058;Cuenca de Campos;Valladolid;Castilla y León
45055;Cuerva;Toledo;Castilla-La Mancha
42073;Cueva de Ágreda;Soria;Castilla y León
16079;Cueva del Hierro;Cuenca;Castilla-La Mancha
29047;Cuevas Bajas;Málaga;Andalucía
44093;Cuevas de Almudén;Teruel;Aragón
40905;Cuevas de Provanco;Segovia;Castilla y León
09119;Cuevas de San Clemente;Burgos;Castilla y León
29049;Cuevas de San Marcos;Málaga;Andalucía
04035;Cuevas del Almanzora;Almería;Andalucía
29048;Cuevas del Becerro;Málaga;Andalucía
18912;Cuevas del Campo;Granada;Andalucía
05066;Cuevas del Valle;Ávila;Castilla y León
44094;Cuevas Labradas;Teruel;Aragón
12051;Culla;Castelló/Castellón;Comunitat Valenciana
18056;Cúllar;Granada;Andalucía
18057;Cúllar Vega;Granada;Andalucía
46105;Cullera;València/Valencia;Comunitat Valenciana
15031;Culleredo;A Coruña;Galicia
21027;Cumbres de Enmedio;Huelva;Andalucía
21028;Cumbres de San Bartolomé;Huelva;Andalucía
21029;Cumbres Mayores;Huelva;Andalucía
43051;Cunit;Tarragona;Cataluña/Catalunya
36015;Cuntis;Pontevedra;Galicia
47059;Curiel de Duero;Valladolid;Castilla y León
15032;Curtis;A Coruña;Galicia
29050;Cútar;Málaga;Andalucía
26056;Cuzcurrita de Río Tirón;La Rioja;La Rioja
28053;Daganzo de Arriba;Madrid;Comunidad de Madrid
13039;Daimiel;Ciudad Real;Castilla-La Mancha
46113;Daimús;València/Valencia;Comunitat Valenciana
04038;Dalías;Almería;Andalucía
17060;Darnius;Girona;Cataluña/Catalunya
50094;Daroca;Zaragoza;Aragón
26057;Daroca de Rioja;La Rioja;La Rioja
18063;Darro;Granada;Andalucía
17061;Das;Girona;Cataluña/Catalunya
03061;Daya Nueva;Alacant/Alicante;Comunitat Valenciana
03062;Daya Vieja;Alacant/Alicante;Comunitat Valenciana
20029;Deba;Gipuzkoa;País Vasco/Euskadi
33022;Degaña;Asturias;Principado de Asturias
34067;Dehesa de Montejo;Palencia;Castilla y León
34068;Dehesa de Romanos;Palencia;Castilla y León
18064;Dehesas de Guadix;Granada;Andalucía
18065;Dehesas Viejas;Granada;Andalucía
07018;Deià;Illes Balears;Illes Balears
18066;Deifontes;Granada;Andalucía
10070;Deleitosa;Cáceres;Extremadura
43901;Deltebre;Tarragona;Cataluña/Catalunya
03063;Dénia;Alacant/Alicante;Comunitat Valenciana
48901;Derio;Bizkaia;País Vasco/Euskadi
10071;Descargamaría;Cáceres;Extremadura
31079;Desojo;Navarra;Comunidad Foral de Navarra
24066;Destriana;León;Castilla y León
42075;Dévanos;Soria;Castilla y León
42076;Deza;Soria;Castilla y León
31080;Dicastillo;Navarra;Comunidad Foral de Navarra
05903;Diego del Carpio;Ávila;Castilla y León
18067;Diezma;Granada;Andalucía
18068;Dílar;Granada;Andalucía
48026;Dima;Bizkaia;País Vasco/Euskadi
37115;Dios le Guarde;Salamanca;Castilla y León
15033;Dodro;A Coruña;Galicia
18069;Dólar;Granada;Andalucía
03064;Dolores;Alacant/Alicante;Comunitat Valenciana
46114;Domeño;València/Valencia;Comunitat Valenciana
40068;Domingo García;Segovia;Castilla y León
45058;Domingo Pérez;Toledo;Castilla-La Mancha
18915;Domingo Pérez de Granada;Granada;Andalucía
06043;Don Álvaro;Badajoz;Extremadura
06044;Don Benito;Badajoz;Extremadura
31081;Donamaria;Navarra;Comunidad Foral de Navarra
31221;Doneztebe/Santesteban;Navarra;Comunidad Foral de Navarra
40069;Donhierro;Segovia;Castilla y León
05069;Donjimeno;Ávila;Castilla y León
20069;Donostia/San Sebastián;Gipuzkoa;País Vasco/Euskadi
05070;Donvidas;Ávila;Castilla y León
14022;Doña Mencía;Córdoba;Andalucía
37116;Doñinos de Ledesma;Salamanca;Castilla y León
37117;Doñinos de Salamanca;Salamanca;Castilla y León
46115;Dos Aguas;València/Valencia;Comunitat Valenciana
41038;Dos Hermanas;Sevilla;Andalucía
14023;Dos Torres;Córdoba;Andalucía
45059;Dosbarrios;Toledo;Castilla-La Mancha
08075;Dosrius;Barcelona;Cataluña/Catalunya
36016;Dozón;Pontevedra;Galicia
19107;Driebes;Guadalajara;Castilla-La Mancha
18070;Dúdar;Granada;Andalucía
34069;Dueñas;Palencia;Castilla y León
43053;Duesaigües;Tarragona;Cataluña/Catalunya
15034;Dumbría;A Coruña;Galicia
48027;Durango;Bizkaia;País Vasco/Euskadi
18071;Dúrcal;Granada;Andalucía
19108;Durón;Guadalajara;Castilla-La Mancha
40070;Duruelo;Segovia;Castilla y León
42078;Duruelo de la Sierra;Soria;Castilla y León
48028;Ea;Bizkaia;País Vasco/Euskadi
31083;Echarri/Etxarri;Navarra;Comunidad Foral de Navarra
41039;Écija;Sevilla;Andalucía
20030;Eibar;Gipuzkoa;País Vasco/Euskadi
07026;Eivissa;Illes Balears;Illes Balears
50095;Ejea de los Caballeros;Zaragoza;Aragón
37118;Éjeme;Salamanca;Castilla y León
44096;Ejulve;Teruel;Aragón
16002;El Acebrón;Cuenca;Castilla-La Mancha
28004;El Álamo;Madrid;Comunidad de Madrid
21003;El Almendro;Huelva;Andalucía
37034;El Arco;Salamanca;Castilla y León
05013;El Arenal;Ávila;Castilla y León
39008;El Astillero;Cantabria;Cantabria
28016;El Atazar;Madrid;Comunidad de Madrid
02014;El Ballestero;Albacete;Castilla-La Mancha
05021;El Barco de Ávila;Ávila;Castilla y León
05022;El Barraco;Ávila;Castilla y León
28021;El Berrueco;Madrid;Comunidad de Madrid
28023;El Boalo;Madrid;Comunidad de Madrid
37054;El Bodón;Salamanca;Castilla y León
05036;El Bohodón;Ávila;Castilla y León
02019;El Bonillo;Albacete;Castilla-La Mancha
29030;El Borge;Málaga;Andalucía
11011;El Bosque;Cádiz;Andalucía
08025;El Bruc;Barcelona;Cataluña/Catalunya
08026;El Brull;Barcelona;Cataluña/Catalunya
29031;El Burgo;Málaga;Andalucía
50062;El Burgo de Ebro;Zaragoza;Aragón
24024;El Burgo Ranero;León;Castilla y León
50063;El Buste;Zaragoza;Aragón
31061;El Busto;Navarra;Comunidad Foral de Navarra
37061;El Cabaco;Salamanca;Castilla y León
03050;El Campello;Alacant/Alicante;Comunitat Valenciana
21018;El Campillo;Huelva;Andalucía
47031;El Campillo;Valladolid;Castilla y León
45033;El Campillo de la Jara;Toledo;Castilla-La Mancha
37077;El Campo de Peñaranda;Salamanca;Castilla y León
16049;El Cañavate;Cuenca;Castilla-La Mancha
19067;El Cardoso de la Sierra;Guadalajara;Castilla-La Mancha
14018;El Carpio;Córdoba;Andalucía
45037;El Carpio de Tajo;Toledo;Castilla-La Mancha
06032;El Carrascalejo;Badajoz;Extremadura
19071;El Casar;Guadalajara;Castilla-La Mancha
45040;El Casar de Escalona;Toledo;Castilla-La Mancha
03075;El Castell de Guadalest;Alacant/Alicante;Comunitat Valenciana
44070;El Castellar;Teruel;Aragón
41031;El Castillo de las Guardas;Sevilla;Andalucía
43043;El Catllar;Tarragona;Cataluña/Catalunya
37102;El Cerro;Salamanca;Castilla y León
21023;El Cerro de Andévalo;Huelva;Andalucía
25076;El Cogul;Lleida;Cataluña/Catalunya
41036;El Coronil;Sevilla;Andalucía
19102;El Cubillo de Uceda;Guadalajara;Castilla-La Mancha
37113;El Cubo de Don Sancho;Salamanca;Castilla y León
49058;El Cubo de Tierra del Vino;Zamora;Castilla y León
44092;El Cuervo;Teruel;Aragón
41903;El Cuervo de Sevilla;Sevilla;Andalucía
04902;El Ejido;Almería;Andalucía
28054;El Escorial;Madrid;Comunidad de Madrid
40076;El Espinar;Segovia;Castilla y León
17005;El Far d'Empordà;Girona;Cataluña/Catalunya
50109;El Frago;Zaragoza;Aragón
33023;El Franco;Asturias;Principado de Asturias
50110;El Frasno;Zaragoza;Aragón
05076;El Fresno;Ávila;Castilla y León
41043;El Garrobo;Sevilla;Andalucía
11018;El Gastor;Cádiz;Andalucía
46132;El Genovés;València/Valencia;Comunitat Valenciana
10085;El Gordo;Cáceres;Extremadura
22115;El Grado;Huesca;Aragón
21037;El Granado;Huelva;Andalucía
14034;El Guijo;Córdoba;Andalucía
16098;El Herrumblar;Cuenca;Castilla-La Mancha
16101;El Hito;Cuenca;Castilla-La Mancha
05100;El Hornillo;Ávila;Castilla y León
05102;El Hoyo de Pinares;Ávila;Castilla y León
43072;El Lloar;Tarragona;Cataluña/Catalunya
05112;El Losar del Barco;Ávila;Castilla y León
49102;El Maderal;Zamora;Castilla y León
41057;El Madroño;Sevilla;Andalucía
37177;El Maíllo;Salamanca;Castilla y León
37180;El Manzano;Salamanca;Castilla y León
08118;El Masnou;Barcelona;Cataluña/Catalunya
43082;El Masroig;Tarragona;Cataluña/Catalunya
43083;El Milà;Tarragona;Cataluña/Catalunya
37191;El Milano;Salamanca;Castilla y León
05129;El Mirón;Ávila;Castilla y León
28086;El Molar;Madrid;Comunidad de Madrid
43085;El Molar;Tarragona;Cataluña/Catalunya
43090;El Montmell;Tarragona;Cataluña/Catalunya
43095;El Morell;Tarragona;Cataluña/Catalunya
19200;El Olivar;Guadalajara;Castilla-La Mancha
19203;El Ordial;Guadalajara;Castilla-La Mancha
05175;El Oso;Ávila;Castilla y León
25158;El Palau d'Anglesola;Lleida;Cataluña/Catalunya
41904;El Palmar de Troya;Sevilla;Andalucía
46189;El Palomar;València/Valencia;Comunitat Valenciana
08158;El Papiol;Barcelona;Cataluña/Catalunya
05180;El Parral;Ávila;Castilla y León
38027;El Paso;Santa Cruz de Tenerife;Canarias
37234;El Payo;Salamanca;Castilla y León
16153;El Pedernoso;Cuenca;Castilla-La Mancha
19213;El Pedregal;Guadalajara;Castilla-La Mancha
41073;El Pedroso;Sevilla;Andalucía
37239;El Pedroso de la Armuña;Salamanca;Castilla y León
49146;El Pego;Zamora;Castilla y León
16155;El Peral;Cuenca;Castilla-La Mancha
49151;El Perdigón;Zamora;Castilla y León
43104;El Perelló;Tarragona;Cataluña/Catalunya
16158;El Picazo;Cuenca;Castilla-La Mancha
18910;El Pinar;Granada;Andalucía
38901;El Pinar de El Hierro;Santa Cruz de Tenerife;Canarias
43106;El Pinell de Brai;Tarragona;Cataluña/Catalunya
37253;El Pino de Tormes;Salamanca;Castilla y León
49158;El Piñero;Zamora;Castilla y León
43108;El Pla de Santa Maria;Tarragona;Cataluña/Catalunya
08164;El Pla del Penedès;Barcelona;Cataluña/Catalunya
25168;El Poal;Lleida;Cataluña/Catalunya
44185;El Pobo;Teruel;Aragón
19222;El Pobo de Dueñas;Guadalajara;Castilla-La Mancha
43113;El Pont d'Armentera;Tarragona;Cataluña/Catalunya
25030;El Pont de Bar;Lleida;Cataluña/Catalunya
25173;El Pont de Suert;Lleida;Cataluña/Catalunya
08182;El Pont de Vilomara i Rocafort;Barcelona;Cataluña/Catalunya
17140;El Port de la Selva;Girona;Cataluña/Catalunya
16169;El Pozuelo;Cuenca;Castilla-La Mancha
08169;El Prat de Llobregat;Barcelona;Cataluña/Catalunya
16171;El Provencio;Cuenca;Castilla-La Mancha
45138;El Puente del Arzobispo;Toledo;Castilla-La Mancha
11027;El Puerto de Santa María;Cádiz;Andalucía
22190;El Pueyo de Araguás;Huesca;Aragón
46204;El Puig de Santa Maria;València/Valencia;Comunitat Valenciana
03110;El Ràfol d'Almúnia;Alacant/Alicante;Comunitat Valenciana
26122;El Rasillo de Cameros;La Rioja;La Rioja
46211;El Real de Gandia;València/Valencia;Comunitat Valenciana
41080;El Real de la Jara;Sevilla;Andalucía
45144;El Real de San Vicente;Toledo;Castilla-La Mancha
19232;El Recuenco;Guadalajara;Castilla-La Mancha
26123;El Redal;La Rioja;La Rioja
13901;El Robledo;Ciudad Real;Castilla-La Mancha
45149;El Romeral;Toledo;Castilla-La Mancha
41083;El Ronquillo;Sevilla;Andalucía
38032;El Rosario;Santa Cruz de Tenerife;Canarias
43134;El Rourell;Tarragona;Cataluña/Catalunya
42160;El Royo;Soria;Castilla y León
41084;El Rubio;Sevilla;Andalucía
37303;El Sahugo;Salamanca;Castilla y León
41090;El Saucejo;Sevilla;Andalucía
38041;El Sauzal;Santa Cruz de Tenerife;Canarias
25206;El Soleràs;Lleida;Cataluña/Catalunya
19260;El Sotillo;Guadalajara;Castilla-La Mancha
38044;El Tanque;Santa Cruz de Tenerife;Canarias
37319;El Tejado;Salamanca;Castilla y León
05241;El Tiemblo;Ávila;Castilla y León
45167;El Toboso;Toledo;Castilla-La Mancha
37325;El Tornadizo;Salamanca;Castilla y León
10184;El Torno;Cáceres;Extremadura
12115;El Toro;Castelló/Castellón;Comunitat Valenciana
18902;EL Valle;Granada;Andalucía
16173;El Valle de Altomira;Cuenca;Castilla-La Mancha
44249;El Vallecillo;Teruel;Aragón
28168;El Vellón;Madrid;Comunidad de Madrid
43163;El Vendrell;Tarragona;Cataluña/Catalunya
03138;El Verger;Alacant/Alicante;Comunitat Valenciana
26170;El Villar de Arnedo;La Rioja;La Rioja
25253;El Vilosell;Lleida;Cataluña/Catalunya
14074;El Viso;Córdoba;Andalucía
45199;El Viso de San Juan;Toledo;Castilla-La Mancha
41102;El Viso del Alcor;Sevilla;Andalucía
48031;Elantxobe;Bizkaia;País Vasco/Euskadi
01021;Elburgo/Burgelu;Araba/Álava;País Vasco/Euskadi
02030;Elche de la Sierra;Albacete;Castilla-La Mancha
03065;Elche/Elx;Alacant/Alicante;Comunitat Valenciana
01022;Elciego;Araba/Álava;País Vasco/Euskadi
03066;Elda;Alacant/Alicante;Comunitat Valenciana
20031;Elduain;Gipuzkoa;País Vasco/Euskadi
20033;Elgeta;Gipuzkoa;País Vasco/Euskadi
20032;Elgoibar;Gipuzkoa;País Vasco/Euskadi
31087;Elgorriaga;Navarra;Comunidad Foral de Navarra
10072;Eljas;Cáceres;Extremadura
48032;Elorrio;Bizkaia;País Vasco/Euskadi
25004;Els Alamús;Lleida;Cataluña/Catalunya
43066;Els Garidells;Tarragona;Cataluña/Catalunya
43070;Els Guiamets;Tarragona;Cataluña/Catalunya
08162;Els Hostalets de Pierola;Barcelona;Cataluña/Catalunya
25153;Els Omellons;Lleida;Cataluña/Catalunya
25154;Els Omells de na Gaia;Lleida;Cataluña/Catalunya
43100;Els Pallaresos;Tarragona;Cataluña/Catalunya
25911;Els Plans de Sió;Lleida;Cataluña/Catalunya
03901;Els Poblets;Alacant/Alicante;Comunitat Valenciana
08170;Els Prats de Rei;Barcelona;Cataluña/Catalunya
25224;Els Torms;Lleida;Cataluña/Catalunya
01023;Elvillar/Bilar;Araba/Álava;País Vasco/Euskadi
19109;Embid;Guadalajara;Castilla-La Mancha
50096;Embid de Ariza;Zaragoza;Aragón
46117;Emperador;València/Valencia;Comunitat Valenciana
37120;Encina de San Silvestre;Salamanca;Castilla y León
50098;Encinacorba;Zaragoza;Aragón
40071;Encinas;Segovia;Castilla y León
37121;Encinas de Abajo;Salamanca;Castilla y León
37122;Encinas de Arriba;Salamanca;Castilla y León
47060;Encinas de Esgueva;Valladolid;Castilla y León
14024;Encinas Reales;Córdoba;Andalucía
21031;Encinasola;Huelva;Andalucía
37123;Encinasola de los Comendadores;Salamanca;Castilla y León
24067;Encinedo;León;Castilla y León
40072;Encinillas;Segovia;Castilla y León
09120;Encío;Burgos;Castilla y León
26058;Enciso;La Rioja;La Rioja
37124;Endrinal;Salamanca;Castilla y León
31089;Enériz/Eneritz;Navarra;Comunidad Foral de Navarra
46118;Enguera;València/Valencia;Comunitat Valenciana
16082;Enguídanos;Cuenca;Castilla-La Mancha
04041;Enix;Almería;Andalucía
49061;Entrala;Zamora;Castilla y León
39028;Entrambasaguas;Cantabria;Cantabria
26059;Entrena;La Rioja;La Rioja
32030;Entrimo;Ourense;Galicia
06045;Entrín Bajo;Badajoz;Extremadura
50099;Épila;Zaragoza;Aragón
48902;Erandio;Bizkaia;País Vasco/Euskadi
31090;Eratsun;Navarra;Comunidad Foral de Navarra
48033;Ereño;Bizkaia;País Vasco/Euskadi
31091;Ergoiena;Navarra;Comunidad Foral de Navarra
50100;Erla;Zaragoza;Aragón
48034;Ermua;Bizkaia;País Vasco/Euskadi
20067;Errenteria;Gipuzkoa;País Vasco/Euskadi
20066;Errezil;Gipuzkoa;País Vasco/Euskadi
01047;Erriberabeitia;Araba/Álava;País Vasco/Euskadi
01046;Erriberagoitia/Ribera Alta;Araba/Álava;País Vasco/Euskadi
48079;Errigoiti;Bizkaia;País Vasco/Euskadi
31092;Erro;Navarra;Comunidad Foral de Navarra
45060;Erustes;Toledo;Castilla-La Mancha
25057;Es Bòrdes;Lleida;Cataluña/Catalunya
07064;Es Castell;Illes Balears;Illes Balears
07037;Es Mercadal;Illes Balears;Illes Balears
07902;Es Migjorn Gran;Illes Balears;Illes Balears
21032;Escacena del Campo;Huelva;Andalucía
39029;Escalante;Cantabria;Cantabria
45061;Escalona;Toledo;Castilla-La Mancha
40073;Escalona del Prado;Segovia;Castilla y León
45062;Escalonilla;Toledo;Castilla-La Mancha
19110;Escamilla;Guadalajara;Castilla-La Mancha
23031;Escañuela;Jaén;Andalucía
40074;Escarabajosa de Cabezas;Segovia;Castilla y León
19111;Escariche;Guadalajara;Castilla-La Mancha
50101;Escatrón;Zaragoza;Aragón
24069;Escobar de Campos;León;Castilla y León
40075;Escobar de Polendos;Segovia;Castilla y León
42079;Escobosa de Almazán;Soria;Castilla y León
19112;Escopete;Guadalajara;Castilla-La Mancha
07019;Escorca;Illes Balears;Illes Balears
44097;Escorihuela;Teruel;Aragón
44099;Escucha;Teruel;Aragón
10073;Escurial;Cáceres;Extremadura
37125;Escurial de la Sierra;Salamanca;Castilla y León
18072;Escúzar;Granada;Andalucía
32031;Esgos;Ourense;Galicia
47061;Esguevillas de Esgueva;Valladolid;Castilla y León
20034;Eskoriatza;Gipuzkoa;País Vasco/Euskadi
31094;Eslava;Navarra;Comunidad Foral de Navarra
12057;Eslida;Castelló/Castellón;Comunitat Valenciana
37126;Espadaña;Salamanca;Castilla y León
49062;Espadañedo;Zamora;Castilla y León
12058;Espadilla;Castelló/Castellón;Comunitat Valenciana
06046;Esparragalejo;Badajoz;Extremadura
06047;Esparragosa de la Serena;Badajoz;Extremadura
06048;Esparragosa de Lares;Badajoz;Extremadura
08076;Esparreguera;Barcelona;Cataluña/Catalunya
41040;Espartinas;Sevilla;Andalucía
31095;Esparza de Salazar/Espartza Zaraitzu;Navarra;Comunidad Foral de Navarra
37127;Espeja;Salamanca;Castilla y León
42080;Espeja de San Marcelino;Soria;Castilla y León
14025;Espejo;Córdoba;Andalucía
42081;Espejón;Soria;Castilla y León
23032;Espeluy;Jaén;Andalucía
11017;Espera;Cádiz;Andalucía
14026;Espiel;Córdoba;Andalucía
17063;Espinelves;Girona;Cataluña/Catalunya
37128;Espino de la Orbada;Salamanca;Castilla y León
34070;Espinosa de Cerrato;Palencia;Castilla y León
09122;Espinosa de Cervera;Burgos;Castilla y León
